participant_id,choice_type,choice_id,third_alternative,Ax,Ay,Bx,By,Tx,Ty,choice
286,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,A
77,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
77,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
77,similarity,021,Sa,-19.93,14.55,-13.49,9.25,-13.62,9.36,A
77,compromise,018,Cb,3.04,-4.97,5.62,-7.83,8.2,-10.69,T
77,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
77,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
341,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,B
341,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,B
341,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
341,pairwise,016,,26.0,9.0,33.0,5.0,,,B
341,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
341,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,A
315,compromise,018,Ca,3.04,-4.97,5.62,-7.83,0.47,-2.12,A
315,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
315,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
315,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
315,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
315,similarity,016,Sa,26.0,9.0,33.0,5.0,32.0,6.0,A
86,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
86,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
86,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,A
86,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
86,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,T
86,attraction,025,Da,1309.0,-1.35,1923.0,-2.5,1155.0,-1.64,B
144,compromise,011,Cb,4.5,77.0,7.2,56.0,9.9,35.0,A
144,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
144,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,B
144,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
144,similarity,016,Sa,26.0,9.0,33.0,5.0,32.0,6.0,B
144,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
259,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
259,pairwise,011,,4.5,77.0,7.2,56.0,,,B
259,attraction,016,Da,26.0,9.0,33.0,5.0,24.0,8.0,A
259,similarity,021,Sa,-19.93,14.55,-13.49,9.25,-13.62,9.36,T
259,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,T
259,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
266,similarity,015,Sb,-9.49,356.0,-6.49,259.0,-9.43,354.0,T
266,compromise,026,Cb,-64.7,325.0,-39.3,203.0,-13.9,81.0,T
266,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
266,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
266,pairwise,016,,26.0,9.0,33.0,5.0,,,A
266,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,A
272,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,A
272,pairwise,011,,4.5,77.0,7.2,56.0,,,A
272,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
272,attraction,016,Da,26.0,9.0,33.0,5.0,24.0,8.0,A
272,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
272,similarity,036,Sb,407.0,-2.58,452.0,-2.85,408.0,-2.59,B
80,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
80,pairwise,011,,4.5,77.0,7.2,56.0,,,A
80,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
80,attraction,015,Db,-9.49,356.0,-6.49,259.0,-7.24,235.0,B
80,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,B
80,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
313,attraction,018,Db,3.04,-4.97,5.62,-7.83,4.98,-8.55,A
313,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
313,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
313,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
313,compromise,026,Ca,-64.7,325.0,-39.3,203.0,-90.0,446.0,A
313,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,A
331,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
331,attraction,018,Db,3.04,-4.97,5.62,-7.83,4.98,-8.55,B
331,compromise,011,Ca,4.5,77.0,7.2,56.0,1.9,97.0,A
331,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,A
331,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
331,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
118,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,T
118,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
118,similarity,011,Sa,4.5,77.0,7.2,56.0,7.1,57.0,B
118,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
118,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
118,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,B
262,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
262,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,B
262,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,A
262,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
262,pairwise,011,,4.5,77.0,7.2,56.0,,,A
262,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
309,pairwise,011,,4.5,77.0,7.2,56.0,,,A
309,pairwise,016,,26.0,9.0,33.0,5.0,,,A
309,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,T
309,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,B
309,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,B
309,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
275,compromise,025,Ca,1309.0,-1.35,1923.0,-2.5,696.0,-0.21,B
275,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
275,pairwise,016,,26.0,9.0,33.0,5.0,,,A
275,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
275,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
275,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
249,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
249,attraction,016,Db,26.0,9.0,33.0,5.0,31.0,4.0,B
249,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,B
249,compromise,036,Ca,407.0,-2.58,452.0,-2.85,363.0,-2.32,B
249,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
249,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
318,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,T
318,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
318,pairwise,016,,26.0,9.0,33.0,5.0,,,A
318,pairwise,011,,4.5,77.0,7.2,56.0,,,B
318,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,B
318,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,A
347,attraction,016,Db,26.0,9.0,33.0,5.0,31.0,4.0,A
347,compromise,026,Cb,-64.7,325.0,-39.3,203.0,-13.9,81.0,B
347,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
347,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
347,pairwise,011,,4.5,77.0,7.2,56.0,,,A
347,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,B
87,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
87,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
87,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,A
87,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
87,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,A
87,attraction,021,Db,-19.93,14.55,-13.49,9.25,-15.1,7.92,B
269,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
269,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,A
269,similarity,011,Sa,4.5,77.0,7.2,56.0,7.1,57.0,T
269,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
269,attraction,015,Da,-9.49,356.0,-6.49,259.0,-10.24,332.0,A
269,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
91,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
91,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
91,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,A
91,pairwise,021,,-19.93,14.55,-13.49,9.25,,,B
91,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,A
91,pairwise,016,,26.0,9.0,33.0,5.0,,,B
51,similarity,021,Sa,-19.93,14.55,-13.49,9.25,-13.62,9.36,A
51,pairwise,011,,4.5,77.0,7.2,56.0,,,A
51,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
51,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,B
51,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,A
51,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
163,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,B
163,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,T
163,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
163,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
163,pairwise,011,,4.5,77.0,7.2,56.0,,,A
163,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,T
45,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
45,similarity,026,Sa,-64.7,325.0,-39.3,203.0,-39.8,205.0,A
45,attraction,016,Db,26.0,9.0,33.0,5.0,31.0,4.0,B
45,compromise,011,Ca,4.5,77.0,7.2,56.0,1.9,97.0,B
45,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
45,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
53,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
53,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,T
53,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
53,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,A
53,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
53,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,T
15,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,T
15,attraction,018,Db,3.04,-4.97,5.62,-7.83,4.98,-8.55,B
15,similarity,026,Sa,-64.7,325.0,-39.3,203.0,-39.8,205.0,T
15,pairwise,011,,4.5,77.0,7.2,56.0,,,A
15,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
15,pairwise,016,,26.0,9.0,33.0,5.0,,,A
281,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,T
281,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
281,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,A
281,pairwise,011,,4.5,77.0,7.2,56.0,,,A
281,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,A
281,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
108,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
108,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,A
108,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
108,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,B
108,pairwise,011,,4.5,77.0,7.2,56.0,,,A
108,attraction,016,Da,26.0,9.0,33.0,5.0,24.0,8.0,A
206,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
206,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
206,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,B
206,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,A
206,compromise,018,Cb,3.04,-4.97,5.62,-7.83,8.2,-10.69,B
206,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
184,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,T
184,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
184,pairwise,016,,26.0,9.0,33.0,5.0,,,B
184,pairwise,011,,4.5,77.0,7.2,56.0,,,A
184,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,B
184,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,B
22,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
22,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,A
22,similarity,021,Sa,-19.93,14.55,-13.49,9.25,-13.62,9.36,T
22,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,B
22,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
22,pairwise,016,,26.0,9.0,33.0,5.0,,,A
311,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,A
311,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
311,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
311,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
311,attraction,015,Db,-9.49,356.0,-6.49,259.0,-7.24,235.0,A
311,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
166,attraction,015,Db,-9.49,356.0,-6.49,259.0,-7.24,235.0,B
166,pairwise,011,,4.5,77.0,7.2,56.0,,,A
166,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
166,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,T
166,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,B
166,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
65,compromise,011,Ca,4.5,77.0,7.2,56.0,1.9,97.0,B
65,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,B
65,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
65,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
65,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
65,attraction,016,Da,26.0,9.0,33.0,5.0,24.0,8.0,A
154,pairwise,016,,26.0,9.0,33.0,5.0,,,A
154,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,T
154,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
154,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
154,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,T
154,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
232,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,A
232,pairwise,011,,4.5,77.0,7.2,56.0,,,B
232,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,T
232,attraction,021,Db,-19.93,14.55,-13.49,9.25,-15.1,7.92,A
232,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
232,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
332,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
332,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
332,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,B
332,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
332,attraction,018,Da,3.04,-4.97,5.62,-7.83,2.39,-5.69,A
332,similarity,021,Sa,-19.93,14.55,-13.49,9.25,-13.62,9.36,A
305,pairwise,016,,26.0,9.0,33.0,5.0,,,B
305,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,A
305,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
305,compromise,011,Ca,4.5,77.0,7.2,56.0,1.9,97.0,T
305,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
305,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,T
210,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
210,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
210,attraction,021,Db,-19.93,14.55,-13.49,9.25,-15.1,7.92,B
210,similarity,036,Sb,407.0,-2.58,452.0,-2.85,408.0,-2.59,B
210,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,A
210,pairwise,011,,4.5,77.0,7.2,56.0,,,A
189,attraction,018,Da,3.04,-4.97,5.62,-7.83,2.39,-5.69,A
189,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
189,pairwise,011,,4.5,77.0,7.2,56.0,,,B
189,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,B
189,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,A
189,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
4,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
4,pairwise,016,,26.0,9.0,33.0,5.0,,,B
4,attraction,026,Db,-64.7,325.0,-39.3,203.0,-45.6,172.0,A
4,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,T
4,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
4,similarity,011,Sa,4.5,77.0,7.2,56.0,7.1,57.0,B
277,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
277,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,A
277,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
277,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,B
277,pairwise,016,,26.0,9.0,33.0,5.0,,,A
277,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,A
112,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
112,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,B
112,pairwise,016,,26.0,9.0,33.0,5.0,,,A
112,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
112,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,B
112,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,B
173,pairwise,011,,4.5,77.0,7.2,56.0,,,B
173,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
173,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,B
173,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,A
173,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,A
173,pairwise,016,,26.0,9.0,33.0,5.0,,,A
11,attraction,016,Da,26.0,9.0,33.0,5.0,24.0,8.0,B
11,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
11,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
11,compromise,026,Ca,-64.7,325.0,-39.3,203.0,-90.0,446.0,B
11,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,A
11,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
18,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,A
18,similarity,026,Sa,-64.7,325.0,-39.3,203.0,-39.8,205.0,B
18,pairwise,011,,4.5,77.0,7.2,56.0,,,A
18,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
18,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
18,attraction,018,Da,3.04,-4.97,5.62,-7.83,2.39,-5.69,A
92,pairwise,016,,26.0,9.0,33.0,5.0,,,B
92,compromise,011,Cb,4.5,77.0,7.2,56.0,9.9,35.0,A
92,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
92,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
92,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,A
92,similarity,036,Sb,407.0,-2.58,452.0,-2.85,408.0,-2.59,B
310,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,T
310,pairwise,016,,26.0,9.0,33.0,5.0,,,A
310,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
310,compromise,025,Ca,1309.0,-1.35,1923.0,-2.5,696.0,-0.21,A
310,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,B
310,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
279,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
279,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
279,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
279,attraction,021,Db,-19.93,14.55,-13.49,9.25,-15.1,7.92,A
279,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,B
279,similarity,011,Sa,4.5,77.0,7.2,56.0,7.1,57.0,T
237,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
237,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,A
237,similarity,015,Sb,-9.49,356.0,-6.49,259.0,-9.43,354.0,B
237,pairwise,016,,26.0,9.0,33.0,5.0,,,A
237,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,A
237,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
203,attraction,015,Db,-9.49,356.0,-6.49,259.0,-7.24,235.0,A
203,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,T
